,S0 (1/cm^2),h (cm/s),D_SF (cm^2/s),h5 file,cost
0,100000000.0,1e-08,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-08_m1E+00.h5,0.0996124687777559
1,100000000.0,1e-08,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-08_m1E+00.h5,0.04547763775897894
2,100000000.0,1e-08,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-08_m1E+00.h5,0.11359949350886217
3,100000000.0,1e-08,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-08_m1E+00.h5,0.11374617791353062
4,100000000.0,1e-10,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-10_m1E+00.h5,0.10003001244902096
5,100000000.0,1e-10,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-10_m1E+00.h5,0.0411815051594758
6,100000000.0,1e-10,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-10_m1E+00.h5,0.1193941873156675
7,100000000.0,1e-10,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-10_m1E+00.h5,0.11991328219252459
8,100000000.0,1e-12,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-12_m1E+00.h5,0.09243963373549267
9,100000000.0,1e-12,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-12_m1E+00.h5,0.058699549680198575
10,100000000.0,1e-12,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-12_m1E+00.h5,0.11236436936958683
11,100000000.0,1e-12,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-12_m1E+00.h5,0.11760074242356965
12,100000000.0,1e-14,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-14_m1E+00.h5,0.03334893833438878
13,100000000.0,1e-14,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-14_m1E+00.h5,0.09580004634968405
14,100000000.0,1e-14,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-14_m1E+00.h5,0.09734547532298327
15,100000000.0,1e-14,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+08pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-14_m1E+00.h5,0.101224995500751
16,1000000000.0,1e-08,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-08_m1E+00.h5,0.1040397867566499
17,1000000000.0,1e-08,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-08_m1E+00.h5,0.043302202823432064
18,1000000000.0,1e-08,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-08_m1E+00.h5,0.1205008897511419
19,1000000000.0,1e-08,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-08_m1E+00.h5,0.12156083475293558
20,1000000000.0,1e-10,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-10_m1E+00.h5,0.1026501851683285
21,1000000000.0,1e-10,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-10_m1E+00.h5,0.04248090358245582
22,1000000000.0,1e-10,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-10_m1E+00.h5,0.1309814960164765
23,1000000000.0,1e-10,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-10_m1E+00.h5,0.1364388430669359
24,1000000000.0,1e-12,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-12_m1E+00.h5,0.10328777792955565
25,1000000000.0,1e-12,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-12_m1E+00.h5,0.04602706181030969
26,1000000000.0,1e-12,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-12_m1E+00.h5,0.11980528770315382
27,1000000000.0,1e-12,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-12_m1E+00.h5,0.1280891299590926
28,1000000000.0,1e-14,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-14_m1E+00.h5,0.06389604214838768
29,1000000000.0,1e-14,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-14_m1E+00.h5,0.07534552474627601
30,1000000000.0,1e-14,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-14_m1E+00.h5,0.10186445270020822
31,1000000000.0,1e-14,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+09pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-14_m1E+00.h5,0.11386598442161223
32,10000000000.0,1e-08,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-08_m1E+00.h5,0.11259343577364724
33,10000000000.0,1e-08,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-08_m1E+00.h5,0.050729315034475295
34,10000000000.0,1e-08,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-08_m1E+00.h5,0.13756210808353625
35,10000000000.0,1e-08,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-08_m1E+00.h5,0.13766714013614673
36,10000000000.0,1e-10,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-10_m1E+00.h5,0.1106341745053049
37,10000000000.0,1e-10,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-10_m1E+00.h5,0.05625990926610163
38,10000000000.0,1e-10,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-10_m1E+00.h5,0.13936347323074566
39,10000000000.0,1e-10,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-10_m1E+00.h5,0.13946850528335614
40,10000000000.0,1e-12,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-12_m1E+00.h5,0.10094126464032417
41,10000000000.0,1e-12,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-12_m1E+00.h5,0.044781258437188026
42,10000000000.0,1e-12,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-12_m1E+00.h5,0.1371669767355702
43,10000000000.0,1e-12,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-12_m1E+00.h5,0.13727788750598854
44,10000000000.0,1e-14,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-14_m1E+00.h5,0.0930799126694861
45,10000000000.0,1e-14,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-14_m1E+00.h5,0.05643916259426117
46,10000000000.0,1e-14,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-14_m1E+00.h5,0.11577937648143226
47,10000000000.0,1e-14,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+10pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-14_m1E+00.h5,0.12396204660815648
48,100000000000.0,1e-08,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-08_m1E+00.h5,0.11872454033893659
49,100000000000.0,1e-08,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-08_m1E+00.h5,0.07229212831982548
50,100000000000.0,1e-08,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-08_m1E+00.h5,0.13959677944533874
51,100000000000.0,1e-08,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-08_m1E+00.h5,0.13970181149794922
52,100000000000.0,1e-10,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-10_m1E+00.h5,0.11711245180854438
53,100000000000.0,1e-10,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-10_m1E+00.h5,0.07730171659216406
54,100000000000.0,1e-10,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-10_m1E+00.h5,0.1401580213903696
55,100000000000.0,1e-10,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-10_m1E+00.h5,0.1403841957505023
56,100000000000.0,1e-12,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-12_m1E+00.h5,0.10353455117268083
57,100000000000.0,1e-12,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-12_m1E+00.h5,0.05068654279389681
58,100000000000.0,1e-12,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-12_m1E+00.h5,0.13899041913483298
59,100000000000.0,1e-12,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-12_m1E+00.h5,0.1394049182281109
60,100000000000.0,1e-14,1e-14,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-14_5E-02Vcm_h1E-14_m1E+00.h5,0.10420665830302497
61,100000000000.0,1e-14,1e-16,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-16_5E-02Vcm_h1E-14_m1E+00.h5,0.05027206919017769
62,100000000000.0,1e-14,1e-18,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-18_5E-02Vcm_h1E-14_m1E+00.h5,0.12898273926001871
63,100000000000.0,1e-14,1.0000000000000001e-20,/home/fenics/shared/fenics/shared/pid_fit/combinations/20201231-010103_615239/constant_source_flux_96_85C_1E+11pcm2_z1E-04ps_DSF1E-20_5E-02Vcm_h1E-14_m1E+00.h5,0.13448849611563674
